Date,Start(ET),Visitor,VisitorPts,Home,HomePts,OT,Atten,Notes
"Fri, Nov 6, 2015",7:00p,Toronto Raptors,87,Orlando Magic,92,,"16,578",
"Fri, Nov 6, 2015",9:30p,Detroit Pistons,100,Phoenix Suns,92,,"16,676",
"Fri, Nov 6, 2015",10:30p,Houston Rockets,116,Sacramento Kings,110,,"16,983",
"Sat, Nov 7, 2015",7:30p,Washington Wizards,99,Atlanta Hawks,114,,"18,047",
"Sat, Nov 7, 2015",6:00p,Minnesota Timberwolves,102,Chicago Bulls,93,OT,"21,988",
"Sat, Nov 7, 2015",8:30p,New Orleans Pelicans,98,Dallas Mavericks,107,,"20,454",
"Sat, Nov 7, 2015",10:30p,Houston Rockets,109,Los Angeles Clippers,105,,"19,361",
"Sat, Nov 7, 2015",8:30p,Brooklyn Nets,86,Milwaukee Bucks,94,,"15,228",
"Sat, Nov 7, 2015",7:00p,Orlando Magic,105,Philadelphia 76ers,97,,"15,207",
"Sat, Nov 7, 2015",10:00p,Golden State Warriors,103,Sacramento Kings,94,,"17,317",
"Sat, Nov 7, 2015",8:30p,Charlotte Hornets,94,San Antonio Spurs,114,,"18,418",
"Sat, Nov 7, 2015",9:00p,Memphis Grizzlies,79,Utah Jazz,89,,"19,456",
"Sun, Nov 8, 2015",3:30p,Indiana Pacers,97,Cleveland Cavaliers,101,,"20,562",
"Sun, Nov 8, 2015",6:00p,Toronto Raptors,76,Miami Heat,96,,"19,600",
"Sun, Nov 8, 2015",3:30p,Los Angeles Lakers,95,New York Knicks,99,,"19,812",
"Sun, Nov 8, 2015",7:00p,Phoenix Suns,103,Oklahoma City Thunder,124,,"18,203",
"Sun, Nov 8, 2015",9:00p,Detroit Pistons,120,Portland Trail Blazers,103,,"19,393",
"Mon, Nov 9, 2015",8:00p,Minnesota Timberwolves,117,Atlanta Hawks,107,,"12,016",
"Mon, Nov 9, 2015",9:00p,Portland Trail Blazers,104,Denver Nuggets,108,,"9,153",
"Mon, Nov 9, 2015",10:30p,Detroit Pistons,95,Golden State Warriors,109,,"19,596",
"Mon, Nov 9, 2015",7:00p,Orlando Magic,84,Indiana Pacers,97,,"13,104",
"Mon, Nov 9, 2015",10:30p,Memphis Grizzlies,92,Los Angeles Clippers,94,,"19,060",
"Mon, Nov 9, 2015",7:00p,Chicago Bulls,111,Philadelphia 76ers,88,,"13,879",
"Mon, Nov 9, 2015",10:00p,San Antonio Spurs,106,Sacramento Kings,88,,"17,317",
"Tue, Nov 10, 2015",7:00p,Utah Jazz,114,Cleveland Cavaliers,118,,"20,562",
"Tue, Nov 10, 2015",7:30p,Los Angeles Lakers,88,Miami Heat,101,,"19,825",
"Tue, Nov 10, 2015",8:00p,Boston Celtics,99,Milwaukee Bucks,83,,"11,822",
"Tue, Nov 10, 2015",8:00p,Charlotte Hornets,104,Minnesota Timberwolves,95,,"14,722",
"Tue, Nov 10, 2015",8:00p,Dallas Mavericks,105,New Orleans Pelicans,120,,"17,128",
"Tue, Nov 10, 2015",7:30p,New York Knicks,111,Toronto Raptors,109,,"19,800",
"Tue, Nov 10, 2015",7:00p,Oklahoma City Thunder,125,Washington Wizards,101,,"20,356",
"Wed, Nov 11, 2015",8:00p,New Orleans Pelicans,98,Atlanta Hawks,106,,"15,597",
"Wed, Nov 11, 2015",7:30p,Indiana Pacers,102,Boston Celtics,91,,"17,879",
"Wed, Nov 11, 2015",7:00p,New York Knicks,93,Charlotte Hornets,95,,"16,643",
"Wed, Nov 11, 2015",8:00p,Los Angeles Clippers,108,Dallas Mavericks,118,,"19,805",
"Wed, Nov 11, 2015",9:00p,Milwaukee Bucks,102,Denver Nuggets,103,,"9,403",
"Wed, Nov 11, 2015",8:00p,Brooklyn Nets,106,Houston Rockets,98,,"18,155",
"Wed, Nov 11, 2015",8:00p,Golden State Warriors,100,Memphis Grizzlies,84,,"18,119",
"Wed, Nov 11, 2015",7:00p,Los Angeles Lakers,99,Orlando Magic,101,,"18,846",
"Wed, Nov 11, 2015",7:00p,Toronto Raptors,119,Philadelphia 76ers,103,,"12,744",
"Wed, Nov 11, 2015",10:30p,San Antonio Spurs,113,Portland Trail Blazers,101,,"19,393",
"Wed, Nov 11, 2015",10:00p,Detroit Pistons,92,Sacramento Kings,101,,"17,317",
"Thu, Nov 12, 2015",7:30p,Utah Jazz,91,Miami Heat,92,,"19,600",
"Thu, Nov 12, 2015",8:00p,Golden State Warriors,129,Minnesota Timberwolves,116,,"16,130",
"Thu, Nov 12, 2015",10:30p,Los Angeles Clippers,104,Phoenix Suns,118,,"17,204",
"Fri, Nov 13, 2015",7:30p,Atlanta Hawks,93,Boston Celtics,106,,"17,138",
"Fri, Nov 13, 2015",8:00p,Charlotte Hornets,97,Chicago Bulls,102,,"21,749",
"Fri, Nov 13, 2015",8:30p,Los Angeles Lakers,82,Dallas Mavericks,90,,"20,260",
"Fri, Nov 13, 2015",9:00p,Houston Rockets,98,Denver Nuggets,107,,"16,113",
"Fri, Nov 13, 2015",7:00p,Minnesota Timberwolves,103,Indiana Pacers,107,,"16,797",
"Fri, Nov 13, 2015",8:00p,Portland Trail Blazers,100,Memphis Grizzlies,101,,"16,919",
"Fri, Nov 13, 2015",7:30p,Cleveland Cavaliers,90,New York Knicks,84,,"19,812",
"Fri, Nov 13, 2015",8:00p,Philadelphia 76ers,85,Oklahoma City Thunder,102,,"18,203",
"Fri, Nov 13, 2015",7:00p,Utah Jazz,93,Orlando Magic,102,,"16,709",
"Fri, Nov 13, 2015",10:00p,Brooklyn Nets,109,Sacramento Kings,111,,"17,131",
"Fri, Nov 13, 2015",7:30p,New Orleans Pelicans,81,Toronto Raptors,100,,"19,800",
"Sat, Nov 14, 2015",10:30p,Brooklyn Nets,99,Golden State Warriors,107,OT,"19,596",
"Sat, Nov 14, 2015",8:00p,Dallas Mavericks,110,Houston Rockets,98,,"18,231",
"Sat, Nov 14, 2015",3:30p,Detroit Pistons,96,Los Angeles Clippers,101,,"19,060",
"Sat, Nov 14, 2015",8:30p,Cleveland Cavaliers,105,Milwaukee Bucks,108,2OT,"18,717",
"Sat, Nov 14, 2015",9:00p,Denver Nuggets,81,Phoenix Suns,105,,"16,722",
"Sat, Nov 14, 2015",8:30p,Philadelphia 76ers,83,San Antonio Spurs,92,,"18,418",
"Sat, Nov 14, 2015",7:00p,Orlando Magic,99,Washington Wizards,108,,"18,311",
"Sun, Nov 15, 2015",6:00p,Utah Jazz,97,Atlanta Hawks,96,,"14,436",
"Sun, Nov 15, 2015",5:00p,Portland Trail Blazers,94,Charlotte Hornets,106,,"15,317",
"Sun, Nov 15, 2015",9:30p,Detroit Pistons,85,Los Angeles Lakers,97,,"18,997",
"Sun, Nov 15, 2015",3:30p,Memphis Grizzlies,114,Minnesota Timberwolves,106,,"12,086",
"Sun, Nov 15, 2015",12:00p,New Orleans Pelicans,87,New York Knicks,95,,"19,812",
