attendance,description,eventPhase,kc,matchId,outcome,event_title,venue_name,venue_city,venue_country,team_1,team_2,team_1_score,team_2_score,local_time
0.0,Match 20,Pool B,,26742.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Fiji 7s,Kenya 7s,43.0,12.0,2018-11-30 23:06:00
0.0,Match 19,Pool B,,26741.0,D,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Scotland 7s,France 7s,14.0,14.0,2018-11-30 22:44:00
0.0,Match 18,Pool C,,26740.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,New Zealand 7s,USA 7s,24.0,7.0,2018-11-30 22:22:00
0.0,Match 17,Pool C,,26739.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Spain 7s,Wales 7s,35.0,7.0,2018-11-30 22:00:00
0.0,Match 34,Cup Final,,26722.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,New Zealand 7s,Canada 7s,26.0,14.0,2018-11-30 21:15:00
0.0,Match 33,Bronze Final,,26721.0,B,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,USA 7s,Australia 7s,21.0,26.0,2018-11-30 20:49:00
0.0,Match 30,Challenge Trophy Final,,26718.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,China 7s,Spain 7s,12.0,7.0,2018-11-30 20:24:00
0.0,Match 32,5th Place Play-Off,,26720.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Russia 7s,England 7s,12.0,7.0,2018-11-30 19:24:00
0.0,Match 16,Pool D,,26738.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Australia 7s,Canada 7s,31.0,19.0,2018-11-30 19:20:00
0.0,Match 31,7th Place Play-Off,,26719.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,France 7s,Ireland 7s,17.0,5.0,2018-11-30 19:02:00
0.0,Match 15,Pool D,,26737.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,England 7s,Japan 7s,31.0,7.0,2018-11-30 18:58:00
0.0,Match 29,11th Place Play-Off,,26717.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Fiji 7s,Kenya 7s,19.0,5.0,2018-11-30 18:40:00
0.0,Match 14,Pool A,,26736.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,South Africa 7s,Samoa 7s,19.0,12.0,2018-11-30 18:36:00
0.0,Match 13,Pool A,,26735.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Argentina 7s,Zimbabwe 7s,22.0,19.0,2018-11-30 18:14:00
0.0,Match 28,Cup Semi Finals,,26716.0,B,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Australia 7s,Canada 7s,10.0,15.0,2018-11-30 17:50:00
0.0,Match 27,Cup Semi Finals,,26715.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,New Zealand 7s,USA 7s,22.0,0.0,2018-11-30 17:28:00
0.0,Match 11,Pool B,,26733.0,B,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Kenya 7s,France 7s,17.0,21.0,2018-11-30 16:44:00
0.0,Match 26,5th Place Semi Final,,26714.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,England 7s,Ireland 7s,22.0,17.0,2018-11-30 16:36:00
0.0,Match 10,Pool C,,26732.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,New Zealand 7s,Spain 7s,28.0,17.0,2018-11-30 16:22:00
0.0,Match 25,5th Place Semi Final,,26713.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Russia 7s,France 7s,21.0,10.0,2018-11-30 16:14:00
0.0,Match 9,Pool C,,26731.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,USA 7s,Wales 7s,33.0,12.0,2018-11-30 16:00:00
0.0,Match 8,Pool D,,26730.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Australia 7s,Japan 7s,43.0,0.0,2018-11-30 15:36:00
0.0,Match 7,Pool D,,26729.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,England 7s,Canada 7s,26.0,12.0,2018-11-30 15:14:00
0.0,Match 6,Pool A,,26728.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,South Africa 7s,Zimbabwe 7s,31.0,0.0,2018-11-30 14:52:00
0.0,Match 24,Challenge Trophy Semi Finals,,26712.0,B,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Kenya 7s,Spain 7s,7.0,24.0,2018-11-30 14:50:00
0.0,Match 5,Pool A,,26727.0,B,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Argentina 7s,Samoa 7s,19.0,21.0,2018-11-30 14:30:00
0.0,Match 23,Challenge Trophy Semi Finals,,26711.0,B,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Fiji 7s,China 7s,10.0,12.0,2018-11-30 14:28:00
0.0,Match 4,Pool B,,26726.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Fiji 7s,France 7s,41.0,0.0,2018-11-30 14:06:00
0.0,Match 22,Cup Quarter Finals,,26710.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Canada 7s,Ireland 7s,24.0,7.0,2018-11-30 14:06:00
0.0,Match 3,Pool B,,26725.0,B,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Kenya 7s,Scotland 7s,14.0,35.0,2018-11-30 13:44:00
0.0,Match 21,Cup Quarter Finals,,26709.0,B,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,England 7s,Australia 7s,12.0,27.0,2018-11-30 13:44:00
0.0,Match 2,Pool C,,26724.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,New Zealand 7s,Wales 7s,28.0,7.0,2018-11-30 13:22:00
0.0,Match 20,Cup Quarter Finals,,26708.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,USA 7s,France 7s,12.0,10.0,2018-11-30 13:22:00
0.0,Match 1,Pool C,,26723.0,A,HSBC World Rugby Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,USA 7s,Spain 7s,29.0,0.0,2018-11-30 13:00:00
0.0,Match 19,Cup Quarter Finals,,26707.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,New Zealand 7s,Russia 7s,31.0,0.0,2018-11-30 13:00:00
0.0,Match 18,Pool A,,26706.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,New Zealand 7s,Ireland 7s,24.0,17.0,2018-11-29 23:43:00
0.0,Match 17,Pool A,,26705.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,Russia 7s,Kenya 7s,19.0,0.0,2018-11-29 23:21:00
0.0,Match 16,Pool B,,26704.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,USA 7s,Australia 7s,22.0,17.0,2018-11-29 22:59:00
0.0,Match 15,Pool B,,26703.0,A,HSBC World Rugby Women's Sevens Series 2019 - Dubai,The Sevens,Dubai,United Arab Emirates,England 7s,China 7s,38.0,0.0,2018-11-29 22:37:00
